"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Feb 13 09:12:21 2026"
"FAPP-info","Type of program","SERIAL"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","-"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","d27-3015c","2","43"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","sector","1","0.002239","-","-","1"
"FAPP-time-stat","0","0","warmup","1","0.000069","-","-","1"
"FAPP-time-stat","0","0","nohint","1","0.002201","-","-","1"
"FAPP-time-stat","0","0","bypass","1","0.002200","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0011","0x0240","0x0241","0x0250","0x0252","0x02a0","0x02a1","0x0200"
"FAPP-cpupa","Process","0","0","-","sector","1","1","224230","4398196","4398196","355180","947959","14846","498041","14432","497593","3967"
"FAPP-cpupa","Thread","0","0","0","sector","1","1","224230","4398196","4398196","355180","947959","14846","498041","14432","497593","3967"
"FAPP-cpupa","Process","0","0","-","warmup","1","1","7665","138821","138821","12196","30222","1298","15803","0","0","193"
"FAPP-cpupa","Thread","0","0","0","warmup","1","1","7665","138821","138821","12196","30222","1298","15803","0","0","193"
"FAPP-cpupa","Process","0","0","-","nohint","1","1","220424","4400062","4400062","355220","948283","14784","498138","0","0","3938"
"FAPP-cpupa","Thread","0","0","0","nohint","1","1","220424","4400062","4400062","355220","948283","14784","498138","0","0","3938"
"FAPP-cpupa","Process","0","0","-","bypass","1","1","220296","4397248","4397248","354950","948013","14687","498135","10112","419336","3965"
"FAPP-cpupa","Thread","0","0","0","bypass","1","1","220296","4397248","4397248","354950","948013","14687","498135","10112","419336","3965"
